"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Eagle Valley Youth Ranch","LW","Eagle Valley Youth Ranch","951","Private","","","?","7 - 12","P.O. BOX 256","TROPIC","84776","geo:37.631045,-112.033517","","","435-679-8336","435-679-8607","","2006","","Principal","",""
"Early Learning Essentials","HM","Early Learning Essentials","901","Private","","","?","Pre","264 West 300 North","PROVO","84601","geo:40.2378472,-111.665821","www.eleutah.org","","801-375-7981","801-375-8036","","2017","","Administrator","","rvirgin@eleutah.org"
"Early Light Academy at Daybreak","6F","Early Light Academy at Daybreak","300","Public","Charter","Title I","?","K - 9","11709 S VADANIA DR","SOUTH JORDAN","84009","geo:40.53794,-112.015164","http://www.earlylightacademy.org","https://datagateway.schools.utah.gov/Schools/6F300","801-302-5988","801-727-0773","State Charter School Board (SCSB)","2009","","Director","Stephanie Schmidt","sschmidt@earlylightacademy.org"
"East Hollywood High","A8","East Hollywood High","700","Public","Charter","Title I","?","9 - 12","2185 S 3600 W","WEST VALLEY CITY","84119","geo:40.723954,-111.97662","http://www.easthollywood.org","","801-886-8181","801-972-9585","State Charter School Board (SCSB)","2004","","Director","Katrina Walker","kwalker@ehhs.us"
"Edith Bowen Laboratory School","5E","Edith Bowen Laboratory School","108","Public","Charter","Title I","?","K - 6","6700 OLD MAIN HILL","LOGAN","84322","geo:41.745107,-111.808807","http://www.edithbowen.usu.edu","https://datagateway.schools.utah.gov/Schools/5E108","435-797-3085","435-797-3668","District or Local Education Authority (LEA)","2007","","Director","Nathan Justis","nate.justis@usu.edu"
"Elevations Academy","KL","Elevations Academy","971","Private","","","?","8 - 12","2650 W 2700 SOUTH","SYRACUSE","84075","geo:41.075541,-112.075853","www.elevationsrtc.com","","801-773-0200","","","2003","","Principal","Lorin Broadbent","rmortensen@elevationsrtc.com"
"Elizabeth Academy","NY","Elizabeth Academy Upper Campus","903","Private","","","?","Pre - 12","1838 S 1500 E","SALT LAKE CITY","84105","geo:40.7307813,-111.8502171","www.elizabethacademy.com","","801-281-4848","801-485-1093","","2017","","Director","","katieh@garfield.com"
"Emery District","09","Book Cliff School","124","Public","","Title I","?","Pre - 6","P O BOX 448 205 S SOLOMON STREET","GREEN RIVER","84525","geo:38.992538,-110.15907","http://emerycsd.org/BookCliff.cfm?subpage=431647","https://datagateway.schools.utah.gov/Schools/09124","435-564-8102","435-564-8327","","1976","","Principal","Gaylene Erwin","gaylenee@emeryschools.org"
"Emery District","09","Canyon View Middle School","404","Public","","","?","6 - 8","P O BOX 250 550 North 400 West","HUNTINGTON","84528","geo:39.336263,-110.973268","http://emerycsd.org/CanyonView.cfm?subpage=431637","https://datagateway.schools.utah.gov/Schools/09404","435-687-2265","435-687-9546","","1976","","Principal","Jennifer Gagon","jennyg@emeryschools.org"
"Emery District","09","Castle Dale School","104","Public","","Title I","?","K - 5","P.O. BOX 539 195 EAST 600 NORTH","CASTLE DALE","84513","geo:39.221198,-111.016332","http://emerycsd.org/CastleDale.cfm?subpage=431631","https://datagateway.schools.utah.gov/Schools/09104","435-381-5221","435-381-5220","","1976","","Principal","Melinda Durrant","melindad@emeryschools.org"
"Emery District","09","Cleveland School","108","Public","","Title I","?","Pre - 5","P.O. BOX 220 30 SOUTH 100 WEST","CLEVELAND","84518","geo:39.348233,-110.854461","http://emerycsd.org/Cleveland.cfm?subpage=431645","https://datagateway.schools.utah.gov/Schools/09108","435-653-2235","435-653-2370","","1982","","Principal","Janet Ewell","janete@emeryschools.org"
"Emery District","09","Cottonwood School","132","Public","","Title I","?","Pre - 5","P O BOX 679 55 EAST 200 SOUTH","ORANGEVILLE","84537","geo:39.225279,-111.052018","http://emerycsd.org/Cottonwood.cfm?subpage=431649","https://datagateway.schools.utah.gov/Schools/09132","435-748-2481","435-748-2130","","1962","","Principal","John Hughes","johnh@emeryschools.org"
"Emery District","09","Emery High","706","Public","","","?","9 - 12","P.O. BOX 499 975 NORTH CENTER","CASTLE DALE","84513","geo:39.227312,-111.020787","http://emerycsd.org/Emery.cfm?subpage=431653","https://datagateway.schools.utah.gov/Schools/09706","435-381-2689","435-381-5370","","1962","","Principal","Steven Gordon","steveng@emeryschools.org"
"Emery District","09","Ferron School","120","Public","","Title I","?","Pre - 5","P O BOX 910 115 WEST MILL RD","FERRON","84523","geo:39.091325,-111.1351","http://emerycsd.org/Ferron.cfm?subpage=431633","https://datagateway.schools.utah.gov/Schools/09120","435-384-2383","435-384-2550","","1964","","Principal","Heather Behling","heatherb@emeryschools.org"
"Emery District","09","Green River High","704","Public","","","?","7 - 12","P.O. BOX 450 400 NORTH 455 WEST","GREEN RIVER","84525","geo:38.999881,-110.1728854","http://emerycsd.org/GreenRiver.cfm?subpage=431643","https://datagateway.schools.utah.gov/Schools/09704","435-564-3461","435-564-3508","","1981","","Principal","Kayce May-Riches","kaycef@emeryschools.org"
"Emery District","09","Huntington School","128","Public","","Title I","?","Pre - 5","P O BOX 190 90 East 100 North","HUNTINGTON","84528","geo:39.327683,-110.963107","http://emerycsd.org/Huntington.cfm?subpage=431635","https://datagateway.schools.utah.gov/Schools/09128","435-687-9954","435-687-2796","","1962","","Principal","Jody Carter","carter@emeryschools.org"
"Emery District","09","San Rafael Middle School","408","Public","","","?","6 - 8","P O BOX 790 420 West 500 South","FERRON","84523","geo:39.081473,-111.140071","http://emerycsd.org/SanRafael.cfm?subpage=431651","https://datagateway.schools.utah.gov/Schools/09408","435-384-2335","435-384-3354","","1976","","Principal","Jerett Gilbert","jgilbert@emeryschools.org"
"Endeavor Hall","3H","Endeavor Hall","100","Public","Charter","Title I","?","K - 8","2614 S DECKER LAKE LANE","WEST VALLEY CITY","84119","geo:40.7132549,-111.944114","http://www.endeavorhall.org/","https://datagateway.schools.utah.gov/Schools/3H100","801-972-1153","801-972-1163","State Charter School Board (SCSB)","2011","","Principal","Simon-Peter Raubenheimer","director@endeavorhall.org"
"Ensign Learning Center","EL","Ensign Learning Center","901","Private","","","?","1 - 6","2755 S Decker Lake Ln","WEST VALLEY CITY","84119","geo:40.7119128258073,-111.9427869579841","ensignlearningcenter.org","","801-327-8711","","","2021","","Administrator","","jackie.k@ensignlearningcenter.org"
"Entheos Academy","3C","Entheos Academy","100","Public","Charter","Title I","?","K - 9","4710 W 6200 S","KEARNS","84118","geo:40.638758,-112.001161","http://www.entheosacademy.org/","https://datagateway.schools.utah.gov/Schools/3C100","801-417-5444","801-417-5448","State Charter School Board (SCSB)","2006","","Director","Denise Mathews","esther.blackwell@entheosacademy.org"
"Entheos Academy","3C","Entheos Academy Magna","110","Public","Charter","Title I","?","K - 9","2606 S 7200 W","MAGNA","84044","geo:40.713082,-112.063172","http://entheosacademy.org/","https://datagateway.schools.utah.gov/Schools/3C110","801-250-5233","801-250-5240","State Charter School Board (SCSB)","2012","","Director","Jason Bennion","jason.bennion@entheosacademy.org"
"Esperanza School","2I","Esperanza School","100","Public","Charter","Title I","?","K - 6","4956 W 3500 S","WEST VALLEY CITY","84120","geo:40.6968,-112.00702","www.esperanzaelementary.org","https://datagateway.schools.utah.gov/Schools/2I100","801-305-1450","385-722-8252","State Charter School Board (SCSB)","2014","","Director","Eulogio Alejandre","eulogio.alejandre@esperanzaelementary.org"
"Everest Academy","EA","Everest Academy","901","Private","","","?","Pre - 12","3950 W 4100 S","WEST HAVEN","84401","geo:41.19754,-111.96382","","","801-645-9454","307-939-2647","","2022","","Administrator","","everestacademyutah@gmail.com"
"Everest Academy","EA","Everest Academy - Children Classic Ogden","903","Private","","","?","Pre - 12"," 3950 W 4100 S","WEST HAVEN","84401","geo:41.24877,-111.97646","","","801-345-9454","307-939-2647","","2022","","Administrator","","everestacademyutah@gmail.com"
"Everest Academy","EA","Everest Academy - Children Classic Weber","904","Private","","","?","Pre - 12","3950 W 4100 S ","WEST HAVEN","84401","geo:41.15739,-111.93623"," http://www.thesammycenter.com/","","801-645-9454","307-939-2647","","2022","","Administrator","","everestacademyutah@gmail.com"
"Everest Academy","EA","The Sammy Center Everest Academy","902","Private","","","?","K - 12","3950 W 4100 South","WEST HAVEN","84401","geo:40.70018,-111.84823","","","","","","2022","","Administrator","","everestacademyutah@gmail.com"
"Evergreen Montessori Academy","NF","Evergreen Montessori Academy","901","Private","","","?","K - 6","5875 S ADAMS AVE PARKWAY","OGDEN","84405","geo:41.153245,-111.969768","","","801-479-7799","","","2008","","Principal","",""
"Excelsior Academy","7F","Excelsior Academy","100","Public","Charter","Title I","?","K - 8","124 E ERDA WAY","ERDA","84074","geo:40.602022,-112.296809","http://www.excelsior-academy.org/","https://datagateway.schools.utah.gov/Schools/7F100","435-882-3062","435-882-4997","State Charter School Board (SCSB)","2009","","Superintendent","Stephanie Eccles","seccles@eautah.org"
"Fabian House","FH","Fabian House","901","Private","","","?","Pre - 3","3118 N. 1200 W.","LEHI","84043","geo:40.426,-111.868","fabianhouse.com","","801-917-0940","","","2021","","Administrator","","stephanie@fabianhouse.com"
"Falcon Ridge Academy","MA","Falcon Ridge Academy","951","Private","","","?","7 - 12","633 E HIGHWAY 9 P.O. BOX 790099","VIRGIN","84779","geo:37.203454,-113.177383","","","435-635-5260","435-635-5327","","2003","","Administrator","","joette.hayden@sequelyouthservices.com"
"Fast Forward High","98","Fast Forward High","700","Public","Charter","Title I","?","9 - 12","875 W 1400 N","LOGAN","84321","geo:41.758231,-111.855676","http://www.ffchs.org","https://datagateway.schools.utah.gov/Schools/98700","435-713-4255","435-753-9615","District or Local Education Authority (LEA)","2003","","Principal","Jill Lowe","jill@ffchs.com"
"Fernwood Academy","LS","Fernwood Academy","950","Private","","","?","null","1904 W Gordon Avenue","LAYTON","84041","geo:41.074776,-112.000264","","","801-444-0794","801-444-0793","","2007","","Principal","","jmurphy@solisticertc.com"
"Field Stone Academy","NC","Field Stone Academy","951","Private","","","?","6 - 12","447 W MEADOW CIRCLE","RICHFIELD","84701","geo:38.781919,-112.083574","fieldstoneacademy.org","","425-633-5326","435-638-7490","","2007","","Principal","","jef@fieldstoneacademy.org"
"Franklin Discovery Academy","6K","Franklin Discovery Academy","100","Public","Charter","Title I","?","K - 6","320 E. Gammon Road","VINEYARD","84058","geo:40.2969457,-111.7499018","http://franklindiscovery.org/","https://datagateway.schools.utah.gov/Schools/6K100","801-785-6500","","State Charter School Board (SCSB)","2016","","Director","Kristopher Hatch","kris.hatch@franklindiscovery.org"
"Freedom Preparatory Academy","82","Freedom Preparatory Academy","100","Public","Charter","Title I","?","Pre - 12","1190 W 900 N","PROVO","84604","geo:40.2463,-111.679582","http://www.pfa.cc","https://datagateway.schools.utah.gov/Schools/82100","801-437-3100","801-437-3149","State Charter School Board (SCSB)","2003","","Director","Lynne Herring","lherring@freedomprep.net"
"Freedom Preparatory Academy","82","Freedom Preparatory Academy - Vineyard","105","Public","Charter","","?","Pre - 5","426 North 100 West","VINEYARD","84058","geo:40.3044281,-111.7565239","www.freedomprep.net","https://datagateway.schools.utah.gov/Schools/82105","801-437-3100","","State Charter School Board (SCSB)","2016","","Principal","Carrie Banfield","cbanfield@freedomprep.net"
"Freedom Preparatory Academy","82","Freedom Preparatory Academy Washington","104","Public","Charter","","?","K - 12","5600 So, Carnelian Parkway","SAINT GEORGE","84790","geo:37.00681,-113.51011","www.freedomprep.net","https://datagateway.schools.utah.gov/Schools/82104","801-437-3100","801-437-3149","State Charter School Board (SCSB)","2021","","Principal","Brandon Winn","bwinn@freedomprep.net"
"Garfield District","10","Antimony School","104","Public","","Title I","?","Pre - 6","PO BOX 120026 140 N HWY 22","ANTIMONY","84712","geo:38.117553,-112.000037","http://www.aes.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10104","435-624-3221","435-624-3286","","1955","","Coordinator","Robin Gibbs","robin.gibbs@garfk12.org"
"Garfield District","10","Boulder School","108","Public","","Title I","?","Pre - 6","P O BOX 1447 50 SCH HOUSE LN","BOULDER","84716","geo:38.130576,-110.689233","http://www.bes.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10108","435-335-7322","435-335-7354","","1984","","Principal","Elizabeth Julian","elizabeth.julian@garfk12.org"
"Garfield District","10","Bryce Valley High","704","Public","","","?","7 - 12","P O BOX 70 721 W BRYCE WAY","TROPIC","84776","geo:37.624587,-112.094342","http://www.bvhs.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10704","435-679-8835","435-679-8539","","1983","","Principal","Jeffrey Brinkerhoff","jeff.brinkerhoff@garfk12.org"
"Garfield District","10","Bryce Valley School","112","Public","","Title I","?","Pre - 6","P O BOX 286 500 W CENTER","TROPIC","84776","geo:37.623854,-112.092203","http://www.bves.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10112","435-679-8619","435-679-8936","","1955","","Principal","Clifford Peterson","pete.peterson@garfk12.org"
"Garfield District","10","Escalante High","708","Public","","","?","7 - 12","PO Box 228 800 East Hwy 12","ESCALANTE","84726","geo:37.766056,-111.586602","http://www.ehs.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10708","435-826-4205","435-826-4231","","1983","","Principal","Peter Baksis","peter.baksis@garfk12.org"
"Garfield District","10","Escalante School","116","Public","","Title I","?","Pre - 6","P O BOX 248 50 N 300 E","ESCALANTE","84726","geo:37.770299,-111.59375","http://www.ees.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10116","435-826-4247","435-826-4789","","1956","","Principal","Peter Baksis","peter.baksis@garfk12.org"
"Garfield District","10","Garfield Online","150","Public","","","?","K - 6","P.O.Box 398","PANGUITCH","84759","geo:37.82273,-112.43279","","https://datagateway.schools.utah.gov/Schools/10150","435-676-8821","","","2021","","Principal","Sarah Smith-Oyler","sarah.oyler@garfk12.org"
"Garfield District","10","Panguitch High","712","Public","","","?","9 - 12","PO BOX 393 390 E 100 S","PANGUITCH","84759","geo:37.82168,-112.42871","http://www.phs.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10712","435-676-8805","435-676-8521","","1973","","Principal","Russell Torgersen","russell.torgersen@garfk12.org"
"Garfield District","10","Panguitch Middle","304","Public","","","?","7 - 8","P O BOX 393 75 S 400 E","PANGUITCH","84759","geo:37.821814,-112.427477","http://www.pms.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10304","435-676-8225","435-676-2518","","1983","","Principal","","russell.torgersen@garfk12.org"
"Garfield District","10","Panguitch School","124","Public","","Title I","?","Pre - 6","PO BOX 386 110 S 100 W","PANGUITCH","84759","geo:37.820721,-112.438176","http://www.pes.garfield.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/10124","435-676-8847","435-676-1346","","1957","","Principal","Lisa Breinholt","lisa.breinholt@garfk12.org"
"Gateway Academy","MB","Gateway Academy","951","Private","","","?","9 - 12","11706 S 700 E","DRAPER","84020","geo:40.716664,-111.870961","www.gatewayacademy.net","","801-523-3479","801-463-7030","","2007","","Director","Casie Buckner-Munteanu","casie@gatewayacademy.net"
